balance_id,company_id,year,month,cash,inventory,accounts_receivable,fixed_assets,accounts_payable,short_term_debt,long_term_debt,equity
1,5,2025,4,182809,91933,293035,688353,101994,151446,253204,571971
2,1,2025,9,286005,365802,385380,2918407,90223,357307,565952,4076456
3,2,2024,6,669499,320247,69514,566774,215533,294131,1880839,2312125
4,3,2023,6,691743,179282,318862,826039,270576,291660,638339,4837361
5,3,2021,5,600650,469408,252196,1721657,135811,128448,497354,2606244
6,2,2023,5,743292,217656,137212,1816644,199971,392759,303283,3763460
7,5,2025,12,340613,480290,270136,1734693,95565,265814,1204222,4235295
8,5,2021,8,459395,158710,127057,554108,235711,356142,495784,1919017
9,4,2022,1,499672,352255,110364,1468661,282271,106910,1451783,1838499
10,5,2022,4,225501,333601,78279,1627685,181400,374479,1703212,1841776
11,4,2024,12,498678,479941,324828,1153824,119435,333112,1258702,2866623
12,5,2025,5,743338,80314,382546,2624529,278188,187254,1543213,1754540
13,2,2021,12,983816,187803,138663,474621,293862,146653,1024382,2998731
14,5,2021,6,439418,219608,143898,545008,234639,396316,1020370,3732415
15,1,2021,1,692151,486966,325303,1702764,135295,323023,316531,1515439
16,2,2022,2,658771,346924,123598,798967,266586,172341,1415389,3544633
17,5,2024,10,254526,209625,331830,1479659,135604,370680,1880690,1814436
18,3,2024,8,376134,256839,338818,2591052,166550,124965,1778170,1897330
19,4,2023,6,674225,262007,144005,1923520,69836,334966,1105757,3956478
20,3,2025,5,284595,104119,62476,1088014,53057,220553,791282,1316063
21,5,2021,1,944556,294039,186646,399854,65929,382361,788809,4611204
22,2,2024,3,293432,367702,240554,579134,113640,344067,1278959,4910408
23,4,2025,12,475330,264332,240211,1144206,213982,111773,457669,4812837
24,2,2022,7,754956,424082,169806,2496098,169547,158867,631663,4975243
25,1,2022,11,494486,316157,161525,448346,78808,331622,422102,4678794
26,3,2023,8,917626,389742,125061,1444798,137422,168719,1232496,3641868
27,2,2022,9,732844,177044,368838,1489230,57946,270246,334137,1941137
28,5,2024,2,320017,383022,312948,2093668,225520,58558,248615,3782564
29,2,2021,12,720256,281436,223272,2660460,151837,283062,324282,3905776
30,4,2025,6,669764,349412,182702,2686842,246090,76458,805440,2861863
31,1,2022,7,538029,335717,196312,2746591,255661,92233,573990,732255
32,4,2021,3,302922,462375,322268,2341620,185199,50713,1202777,1850248
33,1,2025,12,313008,93434,201471,1651580,180039,171337,382776,2646420
34,1,2023,6,899382,141521,191188,2188207,191879,120879,1580798,4358956
35,4,2021,8,973038,215928,272403,1423707,241804,253864,1227639,581487
36,3,2024,8,450151,242437,335784,2509529,247334,225016,263383,4106626
37,4,2021,4,156071,81188,109038,1132530,159408,216933,949894,4494469
38,5,2024,12,350918,296964,241848,1236119,81481,66116,1146655,1322924
39,3,2025,2,942850,85040,396724,1058346,143541,124816,290500,4816937
40,4,2024,11,467592,389797,110051,345770,218793,146651,1215375,1634828
41,4,2024,3,515300,86718,349310,1050860,90525,143443,1374612,2502790
42,1,2025,8,158111,317571,283081,930027,53321,83361,376101,4851959
43,2,2024,6,821204,83485,243336,1535097,76350,143949,288147,3987990
44,3,2025,10,982034,161909,138052,2567568,188196,191072,1007929,4738246
45,5,2025,2,312216,182411,122643,305962,228713,342638,1255573,4840956
46,3,2023,12,233246,53357,220635,1367216,244053,284749,1394114,3125823
47,2,2024,12,791784,305639,361077,2034810,140992,151420,1498397,1100387
48,3,2023,9,406313,457931,376388,1635854,262040,96984,323915,4222108
49,3,2023,1,287547,197231,289007,640397,259646,233692,1247033,4278560
50,1,2025,8,848700,470370,352892,781338,129975,257255,937052,1342243
51,2,2022,2,846369,72688,174281,2447163,174185,397939,473320,3454584
52,2,2022,5,669497,259389,228775,1175274,136212,207003,357697,4735698
53,5,2022,12,973469,267920,108545,2090159,75533,257655,1523023,4159033
54,2,2022,7,627957,390546,120506,1783578,86134,68908,1972072,4356678
55,4,2024,9,166555,172812,375547,2060188,147996,235106,728139,4808224
56,5,2024,1,558945,212419,199300,2466231,67897,263914,974094,2807974
57,2,2024,4,243135,391311,382315,2449114,67258,382849,1723921,4152494
58,5,2024,4,384491,82295,137541,2149173,112682,331967,1080836,2138513
59,5,2023,12,176325,411422,187516,2708598,81425,98157,479835,3625807
60,3,2025,5,191006,439857,288005,2911091,199643,199642,1345713,4501313
61,3,2022,3,724374,166600,216273,2294285,246704,384488,885297,3979150
62,1,2023,5,462424,334475,135726,558191,257065,142141,1793540,1069586
63,5,2025,1,725211,221463,89884,848687,167505,346513,490621,2091038
64,4,2024,12,474831,77878,244226,2442979,147691,207111,392651,1220576
65,3,2022,8,358073,114720,153717,1697359,130511,130752,1179514,4105241
66,3,2022,10,441232,61931,290563,755786,125956,98828,1630255,2780510
67,3,2021,6,983517,130393,229357,2452118,169809,147904,1036553,4000445
68,4,2021,6,472366,266754,361942,1390585,193972,50173,1890338,2607829
69,2,2022,8,366914,371005,130895,2757000,202890,246507,481440,899211
70,1,2022,9,935402,173049,313232,565218,176369,320024,247760,3448520
71,1,2021,7,980391,100977,229535,2579068,87256,292278,1254492,3333897
72,3,2022,12,710129,373548,121320,2963663,156963,207704,1770982,3152512
73,2,2022,3,974283,428990,144551,1716781,244602,251426,1581794,796567
74,3,2023,5,247433,231837,106990,382987,281030,250559,412969,742111
75,3,2023,1,997167,484546,111652,855781,142796,70487,1299525,3143009
76,4,2023,2,128857,166453,338512,2934959,104471,335588,822394,4350073
77,3,2025,2,742450,209661,155659,587966,58325,68103,607394,646886
78,2,2023,6,492284,215271,79043,893581,259355,134941,1926888,4160711
79,5,2024,10,375487,414035,200574,2208125,50125,214147,1367549,833441
80,2,2024,5,880418,214931,336470,2379899,64749,297163,1723410,1951642
81,1,2022,7,165161,479169,339842,2184678,203209,329111,1614961,3607532
82,5,2023,3,919582,379712,148451,1810204,51983,242666,401794,1197464
83,4,2021,8,112343,188350,370670,1627601,212766,113843,609316,987969
84,5,2025,3,784216,265345,131203,2823153,89672,160071,836250,4572721
85,3,2024,1,704429,95191,172873,1817874,179544,117950,1457105,2768865
86,5,2025,9,517607,131913,395504,1888660,56917,78538,343681,540798
87,3,2025,2,986436,299559,289695,1196545,253842,140328,1127344,3722579
88,3,2023,7,258555,487153,391574,1813536,218071,270404,1032104,1958390
89,3,2023,7,846330,488559,122857,646622,155850,132612,1108912,2018240
90,5,2023,2,864216,415688,77153,2754890,178495,341364,1488166,4269179
91,5,2025,9,504272,163444,337091,656554,207790,208828,1700720,3959762
92,1,2021,5,494870,217098,87071,997961,125002,182445,1157522,3269063
93,3,2025,2,988889,399978,349264,2752296,244850,338140,1573028,3464135
94,2,2022,1,116123,57059,321391,1724184,200054,107113,519059,869077
95,5,2025,3,305058,346744,237512,722128,137786,399030,1488477,1743751
96,4,2025,12,769443,395235,195308,1864876,54912,197262,333569,3789315
97,5,2021,1,342269,483923,390412,565004,101980,142152,1478523,1282570
98,1,2023,11,353486,427574,220988,2733149,61949,289131,1620064,598207
99,1,2024,7,647782,448994,263778,523281,186672,168481,459619,4823738
100,3,2021,5,665914,274073,325808,562538,97456,191291,1454108,4768049
101,2,2024,5,974879,419283,129091,2072145,284149,122980,1764436,1778666
102,4,2025,10,246619,273702,323889,810691,147038,350014,1999282,3420733
103,4,2024,3,565524,70159,127235,1443738,190915,118623,1585399,2394493
104,3,2022,11,498549,91069,368108,1544175,288244,56941,337819,3922612
105,3,2021,6,148634,471839,118515,2512532,182059,83362,1788017,3340318
106,5,2024,9,317717,488566,200671,2110130,139174,298587,1005452,4842221
107,3,2021,5,907904,58457,369490,1444733,214354,390531,1956992,4389092
108,5,2021,3,615940,215588,112581,1823653,50475,317563,1569742,2836417
109,5,2023,1,476499,235245,127754,1023794,219270,161066,1108779,1515178
110,4,2021,10,219273,455495,201930,504746,199921,306311,1442704,2037388
111,5,2023,12,827966,166074,374315,1275946,228710,309139,1553782,2369792
112,2,2025,5,399981,220122,345622,1614956,158239,285046,1899122,4720164
113,2,2022,3,706288,458576,242192,1060936,95013,160245,642588,4295751
114,5,2021,11,186512,397194,71908,2110630,98761,397504,1369556,4346762
115,3,2024,9,456680,416605,61940,1898985,180894,151854,542079,660291
116,4,2025,9,591604,334923,330628,1136186,246800,364864,1778123,4076846
117,5,2021,4,561264,220073,374048,2388821,254426,325785,763167,2004986
118,4,2021,3,160195,464692,55025,2673196,120255,198158,272761,2731157
119,5,2025,4,912536,85546,388027,2741886,282961,78814,744814,1414561
120,4,2023,7,628025,290107,317950,411717,141329,339684,718822,2648501
121,4,2022,4,717283,142921,357532,2725667,235956,76651,851775,2458427
122,4,2023,5,866528,418836,60688,1420089,134345,223953,458118,814659
123,3,2023,5,485715,471296,369272,2860277,206788,359479,1794004,4591315
124,2,2022,1,641549,51823,117192,1742597,78639,142918,1488377,3989310
125,1,2023,1,230856,176958,137129,1563426,161777,298906,1033595,1003312
126,4,2023,2,770958,347273,134114,1590450,267760,300062,1401797,4856188
127,4,2021,5,641988,211907,53479,1953852,117346,78230,533013,1251159
128,2,2024,8,568356,198058,171190,2919101,138242,224009,312084,746503
129,5,2021,9,212000,226461,302249,2742449,217832,263152,1172034,1502472
130,2,2022,3,643440,85779,262860,731864,65281,182486,1079226,940821
131,1,2024,9,838479,366069,287180,2506860,264682,109837,1621862,2571875
132,3,2023,5,695936,99648,220753,639727,226390,262701,989107,3112056
133,3,2024,3,910405,261360,138871,2994293,94685,288014,461366,4023130
134,5,2024,6,697176,466707,116078,1083424,199840,151154,215550,4013216
135,5,2023,7,868458,393102,116284,829134,54999,113643,812721,3041464
136,2,2021,7,420393,103924,164105,2709063,147750,101170,1247814,3599259
137,1,2025,5,830306,426468,201710,2270513,232581,278768,306753,4569187
138,5,2021,2,213347,337234,113950,1342656,208692,50084,1028361,4290270
139,2,2023,3,663944,440181,339263,956935,150207,301560,232796,2703906
140,1,2022,12,582596,456577,306917,1942346,148631,326692,1950888,4459245
141,2,2023,2,285007,341664,381025,2813836,113640,228227,565303,1811601
142,3,2024,7,952566,358541,398839,765539,51323,70517,1037175,4407278
143,5,2025,4,410807,318997,362164,1225866,268562,211122,1745492,656791
144,2,2025,5,294909,256029,279060,2490534,89160,61654,1965778,2806024
145,1,2022,3,904077,229760,146631,2988134,291770,360151,1282433,2002609
146,4,2024,6,937116,103558,272210,2202604,145896,372404,1966837,529801
147,3,2021,6,870334,129252,340048,2473569,227416,248052,1258364,2232142
148,3,2021,6,307675,389670,209720,2301815,154664,76324,1438627,4010572
149,3,2024,5,524584,161106,138126,1154071,149177,282672,1566033,4524498
150,5,2025,1,680598,108691,280800,307900,257235,102020,1687325,1201745
151,4,2022,10,362674,478272,197026,518271,199919,174328,1276055,2400678
152,1,2022,10,614332,250169,198762,362389,248209,182162,596675,4119164
153,4,2022,3,690289,363369,232776,1085176,277018,88985,1689410,2456522
154,3,2021,10,607673,359717,327804,2511676,153712,311717,912319,3966054
155,5,2022,5,128173,205491,155064,2561181,275014,82246,1783471,2650909
156,1,2025,7,193558,448757,195751,2181638,208806,210416,875648,2741389
157,4,2021,7,151838,280734,268470,2282598,231657,213762,855043,4786941
158,4,2021,1,224172,203235,59496,1396470,288825,214663,282867,1302435
159,2,2025,5,918236,455849,166013,2558782,206119,289869,1495745,973766
160,3,2023,3,795835,337058,191396,1646094,165011,347261,450939,3767405
161,4,2024,5,592315,59593,232379,344802,113457,221610,1573493,2498090
162,2,2025,2,884361,230852,183164,1237055,59721,315641,1883051,4890440
163,2,2025,4,537698,200987,107852,1605353,210913,131371,1354657,2334379
164,3,2025,1,428501,335714,141650,2134791,103314,261335,1991095,663642
165,5,2021,12,216743,470361,180394,2231947,296931,159706,543517,4092911
166,1,2021,7,776798,157388,102129,2887866,179258,84735,1182381,1771057
167,1,2024,4,295600,492934,319412,1322978,254894,112321,1416529,582331
168,4,2024,3,345651,296381,368977,2762516,160613,257526,358386,4413050
169,2,2023,5,222758,214090,79647,426301,81011,333037,818429,1753561
170,1,2025,2,216760,285147,284960,1387146,202195,343842,1272117,2589276
171,4,2025,10,262030,241157,124815,1604459,109675,340432,936067,4249658
172,2,2023,10,926798,377071,58043,1176106,59090,321156,485499,3227326
173,2,2025,11,628032,132079,78003,829271,106997,320524,878428,4928091
174,1,2024,1,888472,265558,53566,938633,102253,104712,1795132,3330342
175,5,2025,3,369758,169955,75992,2784924,249381,103507,1497179,2655496
176,5,2025,2,531663,483622,330828,1217747,141327,305616,1453617,1097999
177,2,2023,6,921340,376438,140065,1338496,141944,333072,1864268,3486992
178,2,2022,9,694511,151774,87857,839358,145092,270994,1147506,790764
179,4,2025,9,264072,86223,352946,2383856,52567,186803,1454293,3333090
180,3,2021,10,123701,187851,109986,397552,229389,360587,851941,2735781
181,2,2021,11,370607,268429,398919,924393,85350,155826,1050612,3435903
182,3,2023,2,632808,84075,297102,752810,83858,159507,1569475,722236
183,4,2022,7,994768,79301,193844,360336,230594,248151,1893335,3946400
184,5,2024,6,463069,392455,76804,483770,296345,128854,1732389,3692646
185,1,2022,11,517175,267750,150742,2366650,219688,177230,1032732,1391513
186,4,2022,4,976722,357372,300330,2213528,130795,312218,772773,1694677
187,2,2022,2,657208,262494,201043,2336728,199068,79414,1972608,3308157
188,4,2024,4,235350,364243,63445,1247504,157890,290214,1422220,4043052
189,3,2023,12,290895,270701,271939,1063846,279813,196359,1063030,2580360
190,3,2023,11,176703,489211,201015,2076364,112260,210234,1540143,3902546
191,3,2021,12,589265,174332,201641,2289135,124142,61481,1762189,1465064
192,5,2021,11,294387,126093,354328,2225380,118557,190023,487848,3111296
193,1,2022,6,707461,292150,75874,1675878,192772,81827,538552,2048202
194,2,2022,8,940073,101638,98971,1092217,110884,136298,1352639,4993611
195,3,2024,11,789632,475883,358006,481269,125746,253918,845419,2189041
196,2,2021,8,118668,403660,149866,1173642,78230,326030,1321158,3696224
197,4,2023,12,538040,301365,120826,872111,292769,355953,529240,2943926
198,4,2022,1,722401,450681,316929,1235470,273968,358008,1364291,2201054
199,3,2022,12,889377,389785,368542,788281,277763,76107,1876082,4708603
200,4,2024,11,251649,105903,110311,1267226,293851,358345,1347511,3171097
201,1,2025,6,432872,190259,351526,2183353,62529,321252,1397963,3356399
